Item Number;Item Description;Bottle Volume (ml);Category;Vendor Number
43337;CAPTAIN MORGAN SPICED RUM;1000;1062310;260
35416;BURNETT'S VODKA 80 PRF;750;1031080;259
43226;CAPTAIN MORGAN PARROT BAY PASSION FRUIT;750;1062300;260
82840;DEKUYPER PEACHTREE SCHNAPPS TRAVELER;750;1081330;65
22786;BEAM'S 8 STAR BL WHISKEY;750;1011100;65
43334;CAPTAIN MORGAN SPICED RUM;375;1062310;260
86672;JACK DANIEL'S TENNESSEE HONEY;1000;1011300;85
43302;CAPTAIN MORGAN BLACK SPICED;750;1062310;260
74086;GODIVA LIQUEUR;750;1081200;260
34433;GREY GOOSE VODKA;750;1032080;35
11285;CROWN ROYAL XR CANADIAN WHISKEY;750;1012100;260
37997;SMIRNOFF VODKA 80 PRF;1000;1031080;260
43024;ADMIRAL NELSON SPICED RUM;375;1062310;259
19477;MAKER'S MARK;1000;1011200;65
43418;CAPTAIN MORGAN TATTOO;750;1062310;260
29998;FIVE O'CLOCK GIN;1750;1041100;297
35917;FIVE O'CLOCK VODKA;1000;1031080;297
11290;CROWN ROYAL CANADIAN WHISKY MINI;300;1012100;260
13037;CANADIAN RESERVE WHISKY;1000;1012100;434
18408;G & W BOURBON;1750;1011200;297
6998;CLAN MACGREGOR SCOTCH;1750;1012200;240
36308;HAWKEYE VODKA;1750;1031080;434
36305;HAWKEYE VODKA;750;1031080;434
88296;PATRON TEQUILA SILVER;750;1022100;410
19068;JIM BEAM;1750;1011200;65
43336;CAPTAIN MORGAN ORIGINAL SPICED;750;1062310;260
72722;CHRISTIAN BROS HONEY;750;1081900;259
41592;SMIRNOFF LIME VODKA;750;1031200;260
35891;THREE OLIVES CAKE FLAVORED VODKA;750;1032200;395
43338;CAPTAIN MORGAN SPICED RUM;1750;1062310;260
34425;GREY GOOSE VODKA;1750;1032080;35
63528;SALVADOR'S MARGARITA PET;1750;1071100;434
21598;TEN HIGH;1750;1011200;55
31207;MCCORMICK GIN;1000;1041100;300
34061;ABSOLUT RUBY RED;750;1032200;370
64864;FIREBALL CINNAMON WHISKY;375;1081600;421
38177;TITOS HANDMADE VODKA;1000;1031080;301
41846;EVERCLEAR ALCOHOL;750;1101100;434
52594;E & J VS BRANDY;375;1051010;205
86310;LA PRIMA TRIPLE SEC;1000;1081400;434
45419;PHILLIPS WHITE RUM;1000;1062200;380
37348;PHILLIPS VODKA;1750;1031080;380
37935;SKOL VODKA TRAVELER;750;1031080;55
69610;DR. MCGILLICUDDY'S APPLE PIE MINI;3000;1081390;421
24456;KESSLER BLEND WHISKEY;750;1011100;65
19067;JIM BEAM;1000;1011200;65
19026;JIM BEAM BLACK;750;1011200;65
64857;FIREBALL CINNAMON WHISKEY;375;1081600;421
25603;SEAGRAMS 7 CROWN BL WHISKEY;200;1011100;260
75211;KINKY LIQUEUR;750;1081900;322
11586;BLACK VELVET RESERVE;750;1012100;115
57125;CHI-CHI'S GOLD MARGARITA;1750;1071100;55
19066;JIM BEAM;750;1011200;65
26822;JACK DANIELS BLACK LABEL;100;1011300;85
43025;ADMIRAL NELSON SPICED RUM TRAVELER;750;1062310;259
53210;PAUL MASSON GRANDE AMBER BRANDY;100;1051010;115
19019;JESSE JAMES BOURBON;750;1011200;294
11771;BLACK VELVET MINI;600;1012100;115
11774;BLACK VELVET;375;1012100;115
68126;CAROLAN'S IRISH CREAM LIQUEUR;750;1081200;461
16517;ANCIENT AGE BOURBON;1000;1011200;421
23824;FIVE STAR;375;1011100;297
35913;FIVE O'CLOCK VODKA;200;1031080;297
41989;UV CAKE VODKA;750;1031200;380
37347;PHILLIPS VODKA;1000;1031080;380
41857;UV CHERRY RED VODKA MINI;500;1031200;380
89242;CORRALEJO REPOSADO TEQUILA;750;1022100;255
65204;TEQUILA ROSE LIQUEUR MINI;500;1081200;300
34820;SVEDKA VODKA;750;1032080;115
53214;PAUL MASSON GRANDE AMBER BRANDY;375;1051010;115
28206;BOMBAY DRY GIN;750;1042100;35
25608;SEAGRAMS 7 CROWN BL WHISKEY;1750;1011100;260
41796;SMIRNOFF RASPBERRY VODKA;750;1031200;260
17086;BULLEIT BOURBON;750;1011200;260
43127;BACARDI SUPERIOR RUM;1000;1062200;35
12478;CANADIAN MIST CANADIAN WHY PET;1750;1012100;85
69637;DR. MCGILLICUDDY'S CHERRY SCHNAPPS;1000;1081390;421
35314;BARTON VODKA;375;1031080;55
86888;SOUTHERN COMFORT PET;1750;1081600;85
77719;SMIRNOFF POMEGRANATE;750;1031200;260
86112;DEKUYPER TRIPLE SEC;1000;1081400;65
